id,displayName,slug,country,city,countrySlug,citySlug,Parent University Id,Parent University Slug
613aee4dfc9db990e6c5ef77,University of Brighton - Grand Parade Campus,university-of-brighton-grand-parade-campus,United Kingdom,Brighton (UK),united-kingdom,brighton,5a68710032328a1060e06629,university-of-brighton
613aee4dfc9db990e6c5ef62,Torrens University Australia Sydney - Pyrmont Campus,torrens-university-australia-sydney-pyrmont-campus,Australia,Sydney,australia,sydney,5a6870ff32328a1060e065a9,torrens-university-australia-sydney
613aee4dfc9db990e6c5ef6f,La Trobe University - Bundoora Campus,la-trobe-university-bundoora-campus,Australia,Melbourne,australia,melbourne,5a6870ff32328a1060e0658f,la-trobe-university
613aee4dfc9db990e6c5ef60,Torrens University Australia Sydney - Ultimo Campus,torrens-university-australia-sydney-ultimo-campus,Australia,Sydney,australia,sydney,5a6870ff32328a1060e065a9,torrens-university-australia-sydney
613aee4dfc9db990e6c5ef74,La Trobe University - Mildura Campus,la-trobe-university-mildura-campus,Australia,Melbourne,australia,melbourne,5a6870ff32328a1060e0658f,la-trobe-university
613aee4dfc9db990e6c5ef90,TAFE Queensland Brisbane - Redcliffe Campus,tafe-queensland-brisbane-redcliffe-campus,Australia,Brisbane,australia,brisbane,5a68710032328a1060e065c3,tafe-queensland-brisbane
613aee4dfc9db990e6c5ef79,University of Brighton - Falmer Campus,university-of-brighton-falmer-campus,United Kingdom,Brighton (UK),united-kingdom,brighton,5a68710032328a1060e06629,university-of-brighton
613aee4dfc9db990e6c5ef88,Monash University - Berwick Campus,monash-university-berwick-campus,Australia,Melbourne,australia,melbourne,5a6870ff32328a1060e06584,monash-university
613aee4dfc9db990e6c5ef8d,TAFE Queensland Brisbane - Govely Campus,tafe-queensland-brisbane-govely-campus,Australia,Brisbane,australia,brisbane,5a68710032328a1060e065c3,tafe-queensland-brisbane
613aee4dfc9db990e6c5ef51,University of Bedfordshire - Bedford Campus,university-of-bedfordshire-bedford-campus,United Kingdom,Luton,united-kingdom,luton,5a68710032328a1060e0662b,university-of-bedfordshire
613aee4dfc9db990e6c5ef92,The University of Adelaide - Waite Campus,the-university-of-adelaide-waite-campus,Australia,Adelaide,australia,adelaide,5a6870ff32328a1060e06580,the-university-of-adelaide
613aee4dfc9db990e6c5efa1,University of South Australia (UniSA) - Mawson Lakes Campus,university-of-south-australia-unisa-mawson-lakes-campus,Australia,Adelaide,australia,adelaide,5a6870ff32328a1060e0657e,university-of-south-australia-(unisa)
613aee4dfc9db990e6c5ef6a,Western Sydney University - Hawkesbury Campus,western-sydney-university-hawkesbury-campus,Australia,Sydney,australia,sydney,5a6870ff32328a1060e065a6,western-sydney-university
613aee4dfc9db990e6c5ef4c,Victoria University - MetroWest Footscray Campus,victoria-university-metrowest-footscray-campus,Australia,Melbourne,australia,melbourne,5a6870ff32328a1060e06592,victoria-university
613aee4dfc9db990e6c5efab,Deakin University - Warrnambool Campus,deakin-university-warrnambool-campus,Australia,Melbourne,australia,melbourne,5a6870ff32328a1060e06591,deakin-university
613aee4dfc9db990e6c5ef80,Torrens University Australia Adelaide - Victoria Square Campus,torrens-university-australia-adelaide-victoria-square-campus,Australia,Adelaide,australia,adelaide,5a6870ff32328a1060e0657f,torrens-university-australia-adelaide
613aee4dfc9db990e6c5ef7b,University of Brighton - Hastings Campus,university-of-brighton-hastings-campus,United Kingdom,Brighton (UK),united-kingdom,brighton,5a68710032328a1060e06629,university-of-brighton
613aee4dfc9db990e6c5ef83,Swinburne University of Technology - Wantirna Campus,swinburne-university-of-technology-wantirna-campus,Australia,Melbourne,australia,melbourne,5a6870ff32328a1060e06593,swinburne-university-of-technology
